O*NET-SOC Code	Title	Element ID	Element Name	Data Value
11-2022.00	Sales Managers	4.A.4.a.7	Resolving Conflicts and Negotiating with Others	4.14
11-2022.00	Sales Managers	4.A.4.a.8	Performing for or Working Directly with the Public	3.48
11-2022.00	Sales Managers	4.A.4.b.1	Coordinating the Work and Activities of Others	4.2
11-2022.00	Sales Managers	4.A.4.b.2	Developing and Building Teams	4.6
11-2022.00	Sales Managers	4.A.4.b.3	Training and Teaching Others	4.33
11-2022.00	Sales Managers	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	4.57
11-2022.00	Sales Managers	4.A.4.b.5	Coaching and Developing Others	4.5
11-2022.00	Sales Managers	4.A.4.b.6	Providing Consultation and Advice to Others	4.29
11-2022.00	Sales Managers	4.A.4.c.1	Performing Administrative Activities	3.15
11-2022.00	Sales Managers	4.A.4.c.2	Staffing Organizational Units	3.86
11-2022.00	Sales Managers	4.A.4.c.3	Monitoring and Controlling Resources	3.1
11-2033.00	Fundraising Managers	4.A.1.a.1	Getting Information	4.34
11-2033.00	Fundraising Managers	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	3.24
11-2033.00	Fundraising Managers	4.A.1.b.1	Identifying Objects, Actions, and Events	3.11
11-2033.00	Fundraising Managers	4.A.1.b.2	Inspecting Equipment, Structures, or Materials	1.87
11-2033.00	Fundraising Managers	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	2.25
11-2033.00	Fundraising Managers	4.A.2.a.1	Judging the Qualities of Objects, Services, or People	3.0
11-2033.00	Fundraising Managers	4.A.2.a.2	Processing Information	4.05
11-2033.00	Fundraising Managers	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards	3.7
11-2033.00	Fundraising Managers	4.A.2.a.4	Analyzing Data or Information	3.4
11-2033.00	Fundraising Managers	4.A.2.b.1	Making Decisions and Solving Problems	3.57
11-2033.00	Fundraising Managers	4.A.2.b.2	Thinking Creatively	3.49
11-2033.00	Fundraising Managers	4.A.2.b.3	Updating and Using Relevant Knowledge	4.17
11-2033.00	Fundraising Managers	4.A.2.b.4	Developing Objectives and Strategies	3.89
11-2033.00	Fundraising Managers	4.A.2.b.5	Scheduling Work and Activities	3.09
11-2033.00	Fundraising Managers	4.A.2.b.6	Organizing, Planning, and Prioritizing Work	4.07
11-2033.00	Fundraising Managers	4.A.3.a.1	Performing General Physical Activities	2.24
11-2033.00	Fundraising Managers	4.A.3.a.2	Handling and Moving Objects	1.72
11-2033.00	Fundraising Managers	4.A.3.a.3	Controlling Machines and Processes	1.49
11-2033.00	Fundraising Managers	4.A.3.a.4	Operating Vehicles, Mechanized Devices, or Equipment	1.77
11-2033.00	Fundraising Managers	4.A.3.b.1	Working with Computers	4.14
11-2033.00	Fundraising Managers	4.A.3.b.2	Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment	1.04
11-2033.00	Fundraising Managers	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment	1.03
11-2033.00	Fundraising Managers	4.A.3.b.5	Repairing and Maintaining Electronic Equipment	1.26
11-2033.00	Fundraising Managers	4.A.3.b.6	Documenting/Recording Information	3.76
11-2033.00	Fundraising Managers	4.A.4.a.1	Interpreting the Meaning of Information for Others	3.15
11-2033.00	Fundraising Managers	4.A.4.a.2	Communicating with Supervisors, Peers, or Subordinates	4.36
11-2033.00	Fundraising Managers	4.A.4.a.3	Communicating with People Outside the Organization	3.94
11-2033.00	Fundraising Managers	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships	4.38
11-2033.00	Fundraising Managers	4.A.4.a.5	Assisting and Caring for Others	2.39
11-2033.00	Fundraising Managers	4.A.4.a.6	Selling or Influencing Others	3.39
11-2033.00	Fundraising Managers	4.A.4.a.7	Resolving Conflicts and Negotiating with Others	3.14
11-2033.00	Fundraising Managers	4.A.4.a.8	Performing for or Working Directly with the Public	3.4
11-2033.00	Fundraising Managers	4.A.4.b.1	Coordinating the Work and Activities of Others	3.11
11-2033.00	Fundraising Managers	4.A.4.b.2	Developing and Building Teams	3.38
11-2033.00	Fundraising Managers	4.A.4.b.3	Training and Teaching Others	3.14
11-2033.00	Fundraising Managers	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates	2.67
11-2033.00	Fundraising Managers	4.A.4.b.5	Coaching and Developing Others	2.92
11-2033.00	Fundraising Managers	4.A.4.b.6	Providing Consultation and Advice to Others	2.74
11-2033.00	Fundraising Managers	4.A.4.c.1	Performing Administrative Activities	3.51
11-2033.00	Fundraising Managers	4.A.4.c.2	Staffing Organizational Units	2.25
11-2033.00	Fundraising Managers	4.A.4.c.3	Monitoring and Controlling Resources	2.61
11-3012.00	Administrative Services Managers	4.A.1.a.1	Getting Information	4.62
11-3012.00	Administrative Services Managers	4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	3.81
11-3012.00	Administrative Services Managers	4.A.1.b.1	Identifying Objects, Actions, and Events	3.89
11-3012.00	Administrative Services Managers	4.A.1.b.2	Inspecting Equipment, Structures, or Materials	3.15
11-3012.00	Administrative Services Managers	4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	3.08
11-3012.00	Administrative Services Managers	4.A.2.a.1	Judging the Qualities of Objects, Services, or People	3.44
11-3012.00	Administrative Services Managers	4.A.2.a.2	Processing Information	3.77
11-3012.00	Administrative Services Managers	4.A.2.a.3	Evaluating Information to Determine Compliance with Standards	3.71
11-3012.00	Administrative Services Managers	4.A.2.a.4	Analyzing Data or Information	3.5
11-3012.00	Administrative Services Managers	4.A.2.b.1	Making Decisions and Solving Problems	4.22
11-3012.00	Administrative Services Managers	4.A.2.b.2	Thinking Creatively	3.46
11-3012.00	Administrative Services Managers	4.A.2.b.3	Updating and Using Relevant Knowledge	3.87
11-3012.00	Administrative Services Managers	4.A.2.b.4	Developing Objectives and Strategies	2.96
11-3012.00	Administrative Services Managers	4.A.2.b.5	Scheduling Work and Activities	4.19
11-3012.00	Administrative Services Managers	4.A.2.b.6	Organizing, Planning, and Prioritizing Work	4.39
11-3012.00	Administrative Services Managers	4.A.3.a.1	Performing General Physical Activities	3.17
11-3012.00	Administrative Services Managers	4.A.3.a.2	Handling and Moving Objects	3.11
